	Nationality	Date	Classification
500	American	1977	Architecture
501	Japanese	1997	Architecture
502	American	1977	Architecture
503	Dutch	1997	Architecture
504	American	1977	Architecture
505	French	1997	Architecture
506	American	1977	Architecture
507	Argentine	1975	Architecture
508	Italian	1975	Architecture
509	American	1977	Architecture
510	Argentine	1975	Architecture
511	American	1995	Architecture
512	American	1995	Architecture
513	American	1995	Architecture
514	American	1977	Architecture
515	Argentine	1975	Architecture
516	Japanese	1997	Architecture
517	American	1977	Architecture
518	Argentine	1979	Architecture
519	Swiss	1997	Architecture
520	American	1978	Architecture
521	Argentine	1979	Architecture
522	American	1997	Architecture
523	American	1977	Architecture
524	Argentine	1979	Architecture
525	American	1977	Architecture
526	American	1986	Architecture
527	American	1979	Architecture
528	American	1975	Architecture
529	Austrian	1963	Architecture
530	Austrian	1962	Architecture
531	Austrian	1963	Architecture
532	Austrian	1963	Architecture
533	Austrian	1962	Architecture
534	Austrian	1962	Architecture
535	American	1942	Mies van der Rohe Archive
536	American	1954	Mies van der Rohe Archive
537	American	1968	Architecture
538	American	1968	Architecture
539	American	1978	Architecture
540	American	1978	Architecture
541	American	1981	Architecture
542	American	1981	Architecture
543	American	1979	Architecture
544	American	1917	Architecture
545	American	1973	Architecture
546	American	1973	Architecture
547	American	1973	Architecture
548	American	1938	Mies van der Rohe Archive
549	American	1938	Mies van der Rohe Archive
550	American	1926	Mies van der Rohe Archive
551	American	1926	Mies van der Rohe Archive
552	American	1934	Mies van der Rohe Archive
553	American	1934	Mies van der Rohe Archive
554	American	1934	Mies van der Rohe Archive
555	American	1938	Mies van der Rohe Archive
556	American	1938	Mies van der Rohe Archive
557	American	1938	Mies van der Rohe Archive
558	American	1938	Mies van der Rohe Archive
559	American	1932	Mies van der Rohe Archive
560	American	1932	Mies van der Rohe Archive
561	American	1932	Mies van der Rohe Archive
562	American	1932	Mies van der Rohe Archive
563	American	1932	Mies van der Rohe Archive
564	American	1932	Mies van der Rohe Archive
565	American	1932	Mies van der Rohe Archive
566	American	1932	Mies van der Rohe Archive
567	American	1932	Mies van der Rohe Archive
568	American	1932	Mies van der Rohe Archive
569	American	1932	Mies van der Rohe Archive
570	American	1938	Mies van der Rohe Archive
571	American	1938	Mies van der Rohe Archive
572	American	1934	Mies van der Rohe Archive
573	American	1934	Mies van der Rohe Archive
574	American	1935	Mies van der Rohe Archive
575	American	1935	Mies van der Rohe Archive
576	American	1934	Mies van der Rohe Archive
577	American	1934	Mies van der Rohe Archive
578	American	1935	Mies van der Rohe Archive
579	American	1938	Mies van der Rohe Archive
580	American	1937	Mies van der Rohe Archive
581	American	1939	Mies van der Rohe Archive
582	American	1947	Mies van der Rohe Archive
583	American	1946	Mies van der Rohe Archive
584	American	1939	Mies van der Rohe Archive
585	American	1939	Mies van der Rohe Archive
586	American	1939	Mies van der Rohe Archive
587	American	1941	Mies van der Rohe Archive
588	American	1941	Mies van der Rohe Archive
589	American	1941	Mies van der Rohe Archive
590	American	1943	Mies van der Rohe Archive
591	American	1944	Mies van der Rohe Archive
592	American	1944	Mies van der Rohe Archive
593	American	1944	Mies van der Rohe Archive
594	American	1944	Mies van der Rohe Archive
595	American	1944	Mies van der Rohe Archive
596	American	1946	Mies van der Rohe Archive
597	American	1944	Mies van der Rohe Archive
598	American	1945	Mies van der Rohe Archive
599	American	1945	Mies van der Rohe Archive
600	American	1945	Mies van der Rohe Archive
601	American	1945	Mies van der Rohe Archive
602	American	1945	Mies van der Rohe Archive
603	American	1946	Mies van der Rohe Archive
604	American	1945	Mies van der Rohe Archive
605	American	1923	Mies van der Rohe Archive
606	American	1938	Mies van der Rohe Archive
607	American	1941	Mies van der Rohe Archive
608	American	1957	Mies van der Rohe Archive
609	American	1957	Mies van der Rohe Archive
610	American	1964	Mies van der Rohe Archive
611	American	1957	Mies van der Rohe Archive
612	American	1929	Mies van der Rohe Archive
613	American	1953	Mies van der Rohe Archive
614	American	1945	Mies van der Rohe Archive
615	American	1944	Mies van der Rohe Archive
616	American	1946	Mies van der Rohe Archive
617	American	1921	Mies van der Rohe Archive
618	American	1940	Mies van der Rohe Archive
619	American	1940	Mies van der Rohe Archive
620	American	1940	Mies van der Rohe Archive
621	American	1972	Architecture
622	American	1974	Architecture
623	Argentine	1975	Architecture
624	Italian	1969	Architecture
625	British	1964	Architecture
626	British	1964	Architecture
627	British	1964	Architecture
628	British	1965	Architecture
629	American	1975	Architecture
630	French	1958	Architecture
631	French	1959	Architecture
632	American	1927	Architecture
633	American	1927	Architecture
634	American	1927	Architecture
635	American	1929	Architecture
636	American	1930	Architecture
637	American	1930	Architecture
638	American	1973	Architecture
639	American	1973	Architecture
640	American	1973	Architecture
641	British	1964	Architecture
642	British	1966	Architecture
643	Japanese	1960	Architecture
644	Japanese	1968	Architecture
645	Dutch	1975	Architecture
646	Dutch	1975	Architecture
647	Dutch	1976	Architecture
648	Luxembourgish	1974	Architecture
649	Luxembourgish	1974	Architecture
650	Luxembourgish	1974	Architecture
651	Luxembourgish	1971	Architecture
652	Luxembourgish	1972	Architecture
653	Luxembourgish	1975	Architecture
654	American	1975	Architecture
655	American	1975	Architecture
656	Italian	1971	Architecture
657	Italian	1971	Architecture
658	Austrian	1974	Architecture
659	Italian	1971	Architecture
660	Italian	1971	Architecture
661	Italian	1974	Architecture
662	Italian	1974	Architecture
663	Italian	1974	Architecture
664	Austrian	1974	Architecture
665	Austrian	1975	Architecture
666	Austrian	1975	Architecture
667	Austrian	1977	Architecture
668	British	1961	Architecture
669	British	1961	Architecture
670	British	1961	Architecture
671	British	1961	Architecture
672	British	1966	Architecture
673	British	1966	Architecture
674	British	1966	Architecture
675	British	1966	Architecture
676	British	1966	Architecture
677	British	1966	Architecture
678	British	1966	Architecture
679	British	1966	Architecture
680	British	1966	Architecture
681	British	1980	Architecture
682	British	1980	Architecture
683	British	1978	Architecture
684	British	1979	Architecture
685	British	1978	Architecture
686	American	1968	Architecture
687	British	1978	Architecture
688	American	1968	Architecture
689	American	1972	Architecture
690	British	1978	Architecture
691	Italian	1971	Architecture
692	British	1978	Architecture
693	Italian	1973	Architecture
694	British	1978	Architecture
695	British	1978	Architecture
696	British	1978	Architecture
697	British	1978	Architecture
698	British	1978	Architecture
699	British	1978	Architecture
700	British	1978	Architecture
701	British	1978	Architecture
702	British	1980	Architecture
703	British	1978	Architecture
704	British	1978	Architecture
705	British	1978	Architecture
706	British	1978	Architecture
707	British	1978	Architecture
708	British	1980	Architecture
709	British	1978	Architecture
710	British	1978	Architecture
711	British	1978	Architecture
712	British	1978	Architecture
713	British	1978	Architecture
714	British	1978	Architecture
715	British	1978	Architecture
716	British	1978	Architecture
717	Italian	1971	Architecture
718	Italian	1972	Architecture
719	Italian	1972	Architecture
720	Italian	1976	Architecture
721	Italian	1976	Architecture
722	American	1964	Architecture
723	Italian	1971	Architecture
724	American	1966	Architecture
725	Italian	1971	Architecture
726	American	1966	Architecture
727	Italian	1971	Architecture
728	American	1967	Architecture
729	American	1972	Architecture
730	American	1966	Architecture
731	American	1966	Architecture
732	American	1965	Architecture
733	American	1966	Architecture
734	American	1966	Architecture
735	American	1966	Architecture
736	American	1974	Architecture
737	American	1966	Architecture
738	Italian	1974	Architecture
739	Italian	1975	Architecture
740	Italian	1973	Architecture
741	Italian	1973	Architecture
742	Italian	1973	Architecture
743	Italian	1973	Architecture
744	Italian	1973	Architecture
745	Italian	1973	Architecture
746	Italian	1973	Architecture
747	Italian	1973	Architecture
748	Italian	1972	Architecture
749	Italian	1972	Architecture
750	Italian	1972	Architecture
751	Italian	1972	Architecture
752	Italian	1972	Architecture
753	Italian	1973	Architecture
754	Italian	1969	Architecture
755	Italian	1969	Architecture
